Date,Open,High,Low,Close,Volume
03-Jan-23,396,398.35,393,393.9,"9,431,220"
02-Jan-23,392.5,396,391,394.8,"10,501,357"
30-Dec-22,391,392.2,387,387.95,"9,198,673"
29-Dec-22,389,390,383.05,385.9,"15,627,403"
28-Dec-22,394,395.9,390.4,391.3,"8,443,917"
27-Dec-22,390,397.45,388.5,394.15,"14,372,461"
26-Dec-22,380.25,390.7,375.2,384.8,"16,979,026"
23-Dec-22,390,390,377,378.35,"19,902,886"
22-Dec-22,404.1,404.7,390.2,394.45,"14,908,929"
21-Dec-22,412.6,414.4,401,402.6,"11,606,059"
20-Dec-22,418,418,408,410.5,"12,341,042"
19-Dec-22,421.9,422.85,415.5,418,"9,809,103"
16-Dec-22,417.35,427.8,413.1,421.6,"50,949,198"
15-Dec-22,418.85,422.8,415.7,416.7,"7,542,601"
14-Dec-22,420.55,421.35,417.35,417.9,"6,314,883"
13-Dec-22,419.95,421.5,417.25,418.5,"9,717,894"
12-Dec-22,412,416.9,408,414.15,"8,009,229"
09-Dec-22,419.3,420.95,409.55,413.3,"9,920,219"
08-Dec-22,421,421.4,415.35,417.2,"9,539,923"
07-Dec-22,428,428,419.1,420.1,"12,133,315"
06-Dec-22,428.8,431.35,425.35,427.1,"8,461,831"
05-Dec-22,435.5,437.5,427.8,428.75,"12,857,807"
02-Dec-22,439,441.15,435,435.4,"8,352,658"
01-Dec-22,443,443.6,436.85,438.25,"8,909,310"
30-Nov-22,435,441,433.3,439.4,"14,727,892"
29-Nov-22,432.5,437.9,429.55,433.15,"8,630,105"
28-Nov-22,435,440.35,432.4,433.25,"10,701,208"
25-Nov-22,425,435.15,424,433.2,"18,764,073"
24-Nov-22,424.5,425.25,420.7,423.4,"6,768,613"
23-Nov-22,426.85,429.3,422.85,424.05,"6,568,241"
22-Nov-22,421,426.4,420.5,424.7,"6,407,614"
21-Nov-22,425.6,427.6,420,421.1,"9,497,812"
18-Nov-22,424,426.45,421.15,423.8,"9,851,962"
